Participant_ID,Name,Age,Gender,Day,Sport Event,Score,College,State,Satisfaction_Rating,Feedback
P1288,Participant_849,22,Male,1,Running,60,College D,Kerala,5,Facilities need improvement.
P1288,Participant_849,22,Male,2,Volleyball,19,College C,Kerala,1,Facilities need improvement.
P1288,Participant_849,22,Male,3,Swimming,58,College C,Kerala,1,Facilities need improvement.
P1288,Participant_849,22,Male,4,Tennis,32,College B,Karnataka,5,Enjoyed every moment!
P1288,Participant_849,22,Male,5,Badminton,14,College A,Karnataka,5,Facilities need improvement.
P2512,Participant_933,20,Male,1,Cycling,33,College E,Tamil Nadu,3,Could be better organized.
P2512,Participant_933,20,Male,2,Running,64,College D,Kerala,4,Great energy and atmosphere!
P2512,Participant_933,20,Male,3,Football,24,College D,Kerala,2,Amazing competition!
P2512,Participant_933,20,Male,4,Volleyball,36,College D,Kerala,3,Facilities need improvement.
P2512,Participant_933,20,Male,5,Tennis,8,College F,Andhra Pradesh,4,Great energy and atmosphere!
P8592,Participant_803,18,Female,1,Badminton,96,College A,Karnataka,4,Could be better organized.
P8592,Participant_803,18,Female,2,Cycling,93,College E,Tamil Nadu,5,Would love more variety in events.
P8592,Participant_803,18,Female,3,Volleyball,61,College F,Andhra Pradesh,3,Well managed but could use better timing.
P8592,Participant_803,18,Female,4,Cycling,46,College B,Karnataka,3,Would love more variety in events.
P8592,Participant_803,18,Female,5,Archery,13,College E,Tamil Nadu,5,Great energy and atmosphere!
P1189,Participant_831,22,Other,1,Cycling,3,College D,Kerala,1,Facilities need improvement.
P1189,Participant_831,22,Other,2,Volleyball,59,College B,Karnataka,2,Facilities need improvement.
P1189,Participant_831,22,Other,3,Archery,2,College F,Andhra Pradesh,2,Great energy and atmosphere!
P1189,Participant_831,22,Other,4,Basketball,53,College D,Kerala,5,Enjoyed every moment!
P1189,Participant_831,22,Other,5,Cycling,74,College E,Tamil Nadu,4,Could be better organized.
P8365,Participant_396,23,Female,1,Badminton,37,College D,Kerala,2,Facilities need improvement.
P8365,Participant_396,23,Female,2,Running,72,College F,Andhra Pradesh,2,Well managed but could use better timing.
P8365,Participant_396,23,Female,3,Basketball,29,College A,Karnataka,1,Looking forward to next time.
P8365,Participant_396,23,Female,4,Badminton,70,College F,Andhra Pradesh,1,Enjoyed every moment!
P8365,Participant_396,23,Female,5,Running,71,College D,Kerala,1,Could be better organized.
P6131,Participant_383,23,Other,1,Table Tennis,2,College B,Karnataka,1,Great energy and atmosphere!
P6131,Participant_383,23,Other,2,Swimming,73,College D,Kerala,3,Loved the experience!
P6131,Participant_383,23,Other,3,Table Tennis,6,College E,Tamil Nadu,4,Had a great time!
P6131,Participant_383,23,Other,4,Swimming,89,College F,Andhra Pradesh,2,Had a great time!
P6131,Participant_383,23,Other,5,Football,90,College D,Kerala,4,Could be better organized.
P3197,Participant_829,19,Other,1,Tennis,78,College C,Kerala,1,Loved the experience!
